                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    103,                0.52372,                0.30435,                0.86884,                0.99659,                      1,                  0.995,                0.95941,                0.26718,                0.19491,                0.91459,             0.00083337,             0.00083337,             0.00083337
                    104,                0.52807,                0.30508,                0.86013,                0.99674,                      1,                  0.995,                0.97624,                0.25313,                0.18881,                0.91454,             0.00082925,             0.00082925,             0.00082925
                    105,                0.53371,                0.30639,                0.86987,                0.99627,                      1,                  0.995,                0.95413,                0.24965,                0.19085,                 0.9134,             0.00082513,             0.00082513,             0.00082513
                    106,                0.52574,                0.29461,                0.86049,                0.99663,                      1,                  0.995,                0.95874,                 0.2602,                0.21222,                0.92401,               0.000821,               0.000821,               0.000821
                    107,                0.53693,                0.30273,                0.86407,                0.99694,                      1,                  0.995,                 0.9482,                0.29488,                 0.2141,                0.93149,             0.00081688,             0.00081688,             0.00081688
                    108,                 0.5481,                0.31248,                0.85747,                0.93183,                      1,                 0.9552,                0.94744,                0.26768,                0.30727,                0.92484,             0.00081275,             0.00081275,             0.00081275
                    109,                0.51647,                0.30046,                 0.8558,                0.82974,                      1,                 0.8305,                0.81167,                0.27636,                 1.1117,                0.92579,             0.00080863,             0.00080863,             0.00080863
                    110,                0.53216,                0.30819,                  0.862,                0.85368,                      1,                0.86233,                0.85608,                0.26922,                0.72677,                0.93358,              0.0008045,              0.0008045,              0.0008045
                    111,                0.53324,                0.30542,                0.86461,                 0.9956,                      1,                  0.995,                 0.9699,                0.24662,                0.20966,                0.91319,             0.00080038,             0.00080038,             0.00080038
                    112,                0.51011,                0.29637,                0.85048,                0.99604,                      1,                  0.995,                0.94995,                0.31034,                0.22552,                0.91904,             0.00079625,             0.00079625,             0.00079625
                    113,                0.50325,                0.29032,                0.86497,                0.89622,                      1,                 0.8955,                0.88019,                0.25881,                 0.4199,                 0.9149,             0.00079213,             0.00079213,             0.00079213
                    114,                0.52203,                 0.2966,                0.86163,                0.99665,                      1,                  0.995,                0.95405,                0.26035,                0.20083,                0.91278,               0.000788,               0.000788,               0.000788
                    115,                0.53376,                0.30299,                0.87147,                0.90406,                      1,                0.91476,                0.88687,                0.27269,                0.32868,                  0.915,             0.00078387,             0.00078387,             0.00078387
                    116,                0.53008,                0.30739,                0.86883,                0.99824,                      1,                  0.995,                0.96616,                0.23729,                0.19364,                0.91578,             0.00077975,             0.00077975,             0.00077975
                    117,                0.50773,                0.29607,                0.84706,                0.87836,                      1,                0.88835,                0.85943,                0.27662,                0.55895,                0.91621,             0.00077563,             0.00077563,             0.00077563
                    118,                 0.5281,                0.30823,                0.86254,                0.87098,                      1,                0.88019,                0.85479,                0.26092,                0.66022,                0.90973,              0.0007715,              0.0007715,              0.0007715
                    119,                0.51866,                 0.3018,                0.85253,                 0.9314,                      1,                0.94026,                0.91909,                0.23086,                  0.299,                0.91204,             0.00076738,             0.00076738,             0.00076738
                    120,                0.49212,                0.29466,                0.84374,                0.96318,                      1,                0.99455,                0.97863,                0.23937,                 0.2569,                0.91138,             0.00076325,             0.00076325,             0.00076325
                    121,                0.50287,                0.29241,                0.85391,                0.99395,                      1,                  0.995,                0.97554,                0.23707,                0.21083,                 0.9097,             0.00075912,             0.00075912,             0.00075912
